Serial No.,Student ID,Credits,CGPA,Course Difficulty,PASS/FAIL
1,1,3,3,4.5,0
2,2,3,0,3.0,0
3,3,4,4,1.0,1
4,4,4,7,5.5,0
5,5,4,5,4.0,1
6,6,1,0,1.0,1
7,7,2,6,0.5,1
8,8,1,5,1.0,1
9,9,1,7,2.5,1
10,10,2,7,2.0,1
11,11,5,2,3.5,0
12,12,5,3,5.0,0
13,13,4,8,2.5,1
14,14,2,3,2.0,1
15,15,5,2,5.0,0
16,16,4,4,4.0,0
17,17,1,10,1.0,1
18,18,5,7,5.0,1
19,19,1,6,2.5,1
20,20,2,2,3.5,0
21,21,4,9,1.0,1
22,22,3,2,3.0,0
23,23,2,7,3.5,1
24,24,2,0,-1.0,1
25,25,2,4,-1.0,1
26,26,2,6,2.0,1
27,27,4,2,4.0,0
28,28,5,9,5.0,1
29,29,1,0,2.5,0
30,30,5,10,3.5,1
31,31,2,2,5.0,0
32,32,4,9,4.0,1
33,33,5,2,6.5,0
34,34,5,1,5.0,0
35,35,1,4,-0.5,1
36,36,1,5,4.0,0
37,37,2,7,-1.0,1
38,38,1,1,1.0,1
39,39,1,10,2.5,1
40,40,3,8,1.5,1
41,41,2,3,0.5,1
42,42,4,7,4.0,1
43,43,4,7,2.5,1
44,44,4,2,2.5,0
45,45,3,10,3.0,1
46,46,2,7,3.5,1
47,47,5,6,6.5,0
48,48,1,9,-0.5,1
49,49,5,3,6.5,0
50,50,5,10,6.5,1
51,51,4,2,2.5,1
52,52,5,2,6.5,0
53,53,1,8,-0.5,1
54,54,5,8,6.5,0
55,55,4,10,5.5,1
56,56,2,0,2.0,0
57,57,2,9,2.0,1
58,58,5,1,3.5,0
59,59,5,1,6.5,0
60,60,2,5,2.0,1
61,61,4,2,4.0,0
62,62,3,3,1.5,1
63,63,1,2,1.0,1
64,64,5,5,6.5,0
65,65,1,8,1.0,1
66,66,2,8,5.0,1
67,67,5,9,3.5,1
68,68,4,5,1.0,1
69,69,1,7,1.0,1
70,70,1,9,2.5,1
71,71,5,7,5.0,0
72,72,3,3,1.5,1
73,73,5,0,3.5,0
74,74,2,6,3.5,1
75,75,1,2,1.0,1
76,76,2,7,0.5,1
77,77,5,3,6.5,0
78,78,5,5,5.0,0
79,79,1,1,-0.5,1
80,80,1,2,4.0,0
81,81,1,5,-2.0,1
82,82,3,3,3.0,1
83,83,5,9,5.0,1
84,84,1,3,2.5,0
85,85,4,10,4.0,1
86,86,2,0,3.5,0
87,87,3,8,3.0,1
88,88,4,0,4.0,0
89,89,2,6,3.5,0
90,90,3,10,0.0,1
91,91,2,6,-1.0,1
92,92,5,7,6.5,0
93,93,2,0,2.0,0
94,94,5,6,5.0,0
95,95,1,7,-2.0,1
96,96,2,10,0.5,1
97,97,5,0,6.5,0
98,98,4,6,5.5,0
99,99,3,10,1.5,1
100,100,5,8,8.0,0
101,101,5,10,5.0,1
102,102,3,3,0.0,1
103,103,5,4,5.0,0
104,104,4,5,4.0,0
105,105,5,6,5.0,0
106,106,3,6,3.0,1
107,107,2,4,0.5,1
108,108,4,0,4.0,0
109,109,3,4,0.0,1
110,110,1,1,-0.5,1
111,111,5,4,6.5,0
112,112,3,10,3.0,1
113,113,1,1,2.5,0
114,114,2,10,0.5,1
115,115,1,3,2.5,0
116,116,1,7,2.5,1
117,117,2,9,2.0,1
118,118,2,4,0.5,1
119,119,5,1,8.0,0
120,120,5,10,3.5,1
121,121,2,6,3.5,1
122,122,5,9,6.5,0
123,123,1,1,-0.5,1
124,124,1,3,2.5,0
125,125,3,1,1.5,0
126,126,4,8,4.0,1
127,127,2,2,3.5,0
128,128,3,1,1.5,0
129,129,5,3,3.5,0
130,130,2,3,2.0,1
131,131,4,9,1.0,1
132,132,5,5,5.0,0
133,133,4,1,2.5,0
134,134,4,7,4.0,0
135,135,2,8,2.0,1
136,136,3,5,1.5,1
137,137,3,3,3.0,1
138,138,1,4,-2.0,1
139,139,4,5,1.0,1
140,140,1,3,4.0,0
141,141,1,4,4.0,0
142,142,4,2,2.5,0
143,143,1,2,1.0,1
144,144,1,9,1.0,1
145,145,2,7,3.5,1
146,146,4,5,4.0,0
147,147,2,3,-1.0,1
148,148,3,10,3.0,1
149,149,5,9,6.5,0
150,150,5,2,5.0,0
151,151,2,1,3.5,0
152,152,5,7,3.5,1
153,153,3,10,0.0,1
154,154,1,10,1.0,1
155,155,1,9,-2.0,1
156,156,2,6,2.0,1
157,157,2,2,5.0,0
158,158,4,3,4.0,0
159,159,2,1,2.0,0
160,160,3,5,3.0,1
161,161,1,0,1.0,1
162,162,1,0,4.0,0
163,163,2,5,-1.0,1
164,164,1,4,2.5,0
165,165,1,5,1.0,1
166,166,2,6,2.0,1
167,167,4,5,2.5,1
168,168,3,0,3.0,0
169,169,4,6,2.5,1
170,170,3,5,4.5,0
171,171,3,3,1.5,1
172,172,5,6,5.0,0
173,173,5,3,6.5,0
174,174,1,7,-0.5,1
175,175,1,10,2.5,1
176,176,5,1,8.0,0
177,177,2,2,2.0,0
178,178,2,5,0.5,1
179,179,2,8,0.5,1
180,180,3,3,6.0,0
181,181,2,6,2.0,1
182,182,5,6,6.5,0
183,183,4,7,1.0,1
184,184,3,3,1.5,1
185,185,5,10,5.0,1
186,186,4,5,5.5,0
187,187,4,0,1.0,1
188,188,5,1,6.5,0
189,189,1,9,1.0,1
190,190,1,8,1.0,1
191,191,4,5,5.5,0
192,192,2,0,0.5,1
193,193,4,8,2.5,1
194,194,1,7,-0.5,1
195,195,3,3,3.0,0
196,196,5,10,8.0,0
197,197,5,5,5.0,0
198,198,4,7,5.5,0
199,199,4,2,4.0,0
200,200,1,6,1.0,1
201,201,4,3,2.5,0
202,202,3,6,1.5,1
203,203,3,9,4.5,1
204,204,1,2,-0.5,1
205,205,1,8,-0.5,1
206,206,1,10,1.0,1
207,207,3,8,3.0,1
208,208,1,3,-0.5,1
209,209,1,9,4.0,1
210,210,1,6,-2.0,1
211,211,4,3,5.5,0
212,212,2,2,3.5,0
213,213,4,8,2.5,1
214,214,5,7,8.0,0
215,215,1,5,1.0,1
216,216,3,7,1.5,1
217,217,1,0,4.0,0
218,218,4,0,4.0,0
219,219,4,8,2.5,1
220,220,4,1,4.0,0
221,221,2,8,0.5,1
222,222,5,2,5.0,0
223,223,5,0,3.5,0
224,224,2,0,0.5,0
225,225,4,7,7.0,0
226,226,4,6,4.0,1
227,227,3,8,3.0,1
228,228,1,4,2.5,1
229,229,5,10,2.0,1
230,230,5,10,6.5,1
231,231,2,7,2.0,1
232,232,3,1,0.0,1
233,233,1,8,-0.5,1
234,234,5,7,6.5,0
235,235,1,9,2.5,1
236,236,2,10,2.0,1
237,237,3,8,6.0,0
238,238,5,1,5.0,0
239,239,4,7,4.0,0
240,240,1,6,1.0,1
241,241,2,1,5.0,0
242,242,5,1,8.0,0
243,243,2,6,2.0,1
244,244,2,10,2.0,1
245,245,3,10,4.5,1
246,246,3,1,6.0,0
247,247,4,0,5.5,0
248,248,3,10,1.5,1
249,249,4,1,4.0,0
250,250,3,5,3.0,0
251,251,4,1,5.5,0
252,252,3,1,0.0,1
253,253,5,10,5.0,1
254,254,2,6,0.5,1
255,255,5,5,8.0,0
256,256,3,6,3.0,1
257,257,4,5,4.0,0
258,258,1,1,-0.5,1
259,259,5,8,6.5,0
260,260,4,9,7.0,0
261,261,3,5,3.0,0
262,262,3,7,4.5,1
263,263,1,7,1.0,1
264,264,4,1,5.5,0
265,265,5,4,3.5,0
266,266,5,8,5.0,0
267,267,5,10,6.5,1
268,268,3,7,1.5,1
269,269,1,5,2.5,1
270,270,1,6,-0.5,1
271,271,1,8,2.5,1
272,272,3,9,4.5,1
273,273,4,5,4.0,0
274,274,1,0,1.0,1
275,275,5,1,8.0,0
276,276,5,0,5.0,0
277,277,1,8,2.5,1
278,278,1,1,2.5,0
279,279,4,7,2.5,1
280,280,4,6,5.5,0
281,281,1,6,-0.5,1
282,282,5,4,3.5,0
283,283,5,0,6.5,0
284,284,4,4,4.0,0
285,285,3,8,3.0,1
286,286,5,4,5.0,0
287,287,5,2,8.0,0
288,288,4,2,5.5,0
289,289,3,5,3.0,0
290,290,5,5,2.0,1
291,291,2,9,2.0,1
292,292,3,5,0.0,1
293,293,4,3,5.5,0
294,294,1,2,2.5,0
295,295,5,2,5.0,0
296,296,5,0,2.0,0
297,297,1,7,-0.5,1
298,298,5,8,5.0,1
299,299,4,3,7.0,0
